City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Device Protection,Tech Support,Streaming TV,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label
Santa Ana,Female,No,No,No,11,No,No phone service,DSL,No,Yes,Yes,No,One year,Yes,Credit card (automatic),40.4,422.6,No
Santa Ana,Female,No,Yes,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.25,1103.25,No
Santa Ana,Male,Yes,No,No,47,Yes,Yes,DSL,No,No,Yes,No,Two year,No,Bank transfer (automatic),59.6,2754.0,No
Santa Ana,Female,No,No,No,11,Yes,No,DSL,No,Yes,Yes,No,One year,No,Credit card (automatic),64.9,697.25,No
Fountain Valley,Female,Yes,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.85,3204.4,No
Tustin,Male,No,Yes,No,61,Yes,No,DSL,Yes,No,Yes,Yes,Two year,Yes,Mailed check,81.05,4747.65,No
Tustin,Male,No,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),98.05,3082.1,No
Anaheim,Male,No,No,No,9,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.5,597.9,No
Anaheim,Male,Yes,Yes,No,35,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,94.55,3365.4,No
Anaheim,Male,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.65,38.8,No
Anaheim,Female,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.0,19.0,No
Brea,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.0,61.7,No
Fullerton,Male,No,No,No,52,Yes,No,DSL,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),63.25,3342.45,No
Fullerton,Male,No,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.1,85.1,No
Fullerton,Male,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Two year,Yes,Electronic check,99.15,7422.1,No
Fullerton,Male,No,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Electronic check,90.4,6668.05,No
Garden Grove,Male,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),111.9,8071.05,No
Garden Grove,Male,No,Yes,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.9,1174.8,No
Garden Grove,Male,No,Yes,No,63,Yes,Yes,DSL,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),83.5,5435.0,No
Garden Grove,Male,No,No,No,30,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),84.3,2438.6,No
Garden Grove,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,No,Mailed check,45.6,45.6,No
Villa Park,Male,No,No,No,16,No,No phone service,DSL,Yes,Yes,Yes,Yes,Two year,No,Mailed check,54.85,916.15,No
Orange,Male,No,No,No,4,Yes,Yes,DSL,No,No,Yes,No,Month-to-month,No,Mailed check,65.55,237.2,No
Orange,Male,No,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,One year,Yes,Credit card (automatic),90.35,4614.55,No
Orange,Male,No,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.4,1414.45,No
Orange,Male,No,No,No,16,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),74.55,1170.5,No
Orange,Male,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.95,47.7,No
Placentia,Female,No,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,No,No,One year,Yes,Bank transfer (automatic),74.25,4859.25,No
Corona,Male,No,No,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,No,Electronic check,108.65,4903.2,No
Corona,Female,No,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.55,3608.0,No
Corona,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),86.65,6094.25,No
Corona,Male,No,Yes,No,38,Yes,No,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),81.0,3084.9,No
Corona,Male,No,No,No,51,Yes,No,DSL,No,No,Yes,No,One year,No,Credit card (automatic),47.85,2356.75,No
Yorba Linda,Male,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),114.55,8306.05,No
Ventura,Male,No,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.55,1357.1,No
Camarillo,Female,Yes,No,No,44,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),109.8,4860.35,No
Camarillo,Male,No,No,No,50,Yes,Yes,DSL,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),69.5,3418.2,No
Carpinteria,Female,No,No,No,15,Yes,Yes,DSL,No,No,No,No,Month-to-month,No,Mailed check,48.85,631.4,No
Fillmore,Male,No,No,No,8,No,No phone service,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.25,186.3,No
Moorpark,Female,Yes,No,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),102.85,6976.75,No
Oak View,Female,No,No,No,57,Yes,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),87.55,4884.85,No
Ojai,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.55,522.95,No
Oxnard,Male,Yes,Yes,Yes,10,No,No phone service,DSL,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),34.55,362.6,No
Oxnard,Female,No,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,No,No,One year,Yes,Electronic check,92.05,5755.8,No
Oxnard,Male,No,Yes,Yes,40,Yes,No,Fiber optic,No,Yes,No,Yes,One year,Yes,Electronic check,85.05,3355.65,No
Piru,Female,No,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.7,406.95,No
Santa Paula,Female,No,Yes,No,25,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.15,2395.7,No
Simi Valley,Male,No,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,No,Electronic check,84.25,1968.1,No
Simi Valley,Female,Yes,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,No,Yes,One year,No,Credit card (automatic),104.6,6819.45,No
Somis,Female,Yes,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,No,Electronic check,111.65,7943.45,No
Santa Barbara,Female,No,Yes,No,46,Yes,Yes,DSL,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),55.0,2473.95,No
Santa Barbara,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.85,6562.9,No
Santa Barbara,Male,No,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.35,176.3,No
Santa Barbara,Female,No,No,No,40,No,No phone service,DSL,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),54.55,2236.2,No
Santa Barbara,Male,No,No,No,31,Yes,No,Fiber optic,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),99.45,3109.9,No
Goleta,Female,No,Yes,No,68,Yes,Yes,DSL,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),70.9,4911.35,No
Arvin,Male,No,Yes,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.4,1620.2,No
Buttonwillow,Female,Yes,No,No,49,Yes,No,Fiber optic,No,Yes,No,No,One year,Yes,Bank transfer (automatic),89.85,4287.2,No
California Hot Springs,Female,No,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.25,394.85,No
Corcoran,Male,No,Yes,No,50,Yes,Yes,DSL,No,Yes,Yes,Yes,One year,Yes,Electronic check,69.65,3442.15,No
Ducor,Male,Yes,No,No,24,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Credit card (automatic),70.0,1732.6,No
Frazier Park,Male,No,Yes,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.1,655.3,No
Farmersville,Female,No,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.8,475.25,No
Frazier Park,Male,No,No,No,10,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.1,865.1,No
Glennville,Male,No,Yes,No,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.85,6132.7,No
Hanford,Male,No,Yes,No,45,Yes,No,DSL,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),78.8,3597.5,No
Ivanhoe,Male,No,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.35,697.65,No
Kettleman City,Female,No,No,No,10,Yes,No,DSL,No,No,No,No,Month-to-month,No,Mailed check,45.25,428.7,No
Lake Isabella,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,20.05,No
Lamont,Male,No,Yes,No,65,Yes,Yes,DSL,Yes,No,No,No,Two year,Yes,Mailed check,69.55,4459.15,No
Laton,Female,No,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.5,1167.6,No
Lebec,Female,No,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Mailed check,74.75,238.1,No
Lemoore,Male,No,No,No,49,No,No phone service,DSL,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),30.2,1453.1,No
Lost Hills,Female,No,Yes,No,70,No,No phone service,DSL,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),57.8,4039.3,No
Mc Farland,Female,No,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.85,1039.45,No
Mc Kittrick,Male,No,Yes,Yes,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.55,1336.1,No
New Cuyama,Male,No,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.85,493.4,No
Pixley,Male,Yes,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,110.35,7246.15,No
Porterville,Female,No,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.55,1203.95,No
Richgrove,Male,No,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Mailed check,107.95,313.6,No
Sequoia National Park,Male,No,Yes,No,45,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Bank transfer (automatic),81.4,3775.85,No
Springville,Female,No,Yes,No,61,Yes,No,DSL,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),73.8,4616.05,No
Stratford,Male,No,No,No,3,Yes,No,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),64.4,195.65,No
Strathmore,Female,Yes,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),103.75,4188.4,No
Taft,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Mailed check,71.1,71.1,No
Terra Bella,Female,No,No,No,1,Yes,No,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,49.9,49.9,No
Three Rivers,Male,No,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.6,1266.4,No
Tulare,Male,No,No,No,52,No,No phone service,DSL,No,No,No,No,One year,No,Mailed check,30.1,1623.4,No
Tupman,Male,No,No,No,51,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Bank transfer (automatic),83.4,4149.45,No
Visalia,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,20.45,No
Wasco,Male,No,Yes,No,31,Yes,Yes,DSL,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),75.25,2344.5,No
Weldon,Male,No,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.55,1013.05,No
Woodlake,Female,Yes,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.05,417.0,No
Woody,Female,No,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.65,20.65,No
Visalia,Male,No,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,No
Bakersfield,Male,Yes,Yes,Yes,47,Yes,No,Fiber optic,No,No,No,Yes,One year,Yes,Bank transfer (automatic),84.95,4018.05,No
Bakersfield,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),66.5,4811.6,No
Bakersfield,Male,No,Yes,No,66,Yes,Yes,DSL,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),63.3,4189.7,No
Bakersfield,Male,No,No,No,35,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,83.15,2848.45,No
Bakersfield,Male,No,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,84.9,2516.2,No
Bakersfield,Female,No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.55,33.6,No
Bakersfield,Male,No,No,No,4,Yes,No,DSL,No,No,No,No,Month-to-month,No,Mailed check,49.25,208.45,No
Bakersfield,Female,No,No,No,65,Yes,No,DSL,Yes,No,Yes,No,Two year,Yes,Mailed check,59.6,3739.8,No
Bakersfield,Male,Yes,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.65,2964.0,No
San Luis Obispo,Male,No,Yes,No,29,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),75.3,2263.4,No
Los Osos,Male,No,Yes,Yes,29,Yes,Yes,DSL,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),80.1,2211.8,No
Arroyo Grande,Female,No,Yes,No,20,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,81.0,1683.7,No
Atascadero,Female,No,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.7,1519.0,No
Avila Beach,Female,No,No,Yes,14,Yes,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,86.0,1164.05,No
Bradley,Male,No,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.4,1710.9,No
Buellton,Male,No,No,No,46,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),89.15,4245.55,No
Cambria,Female,No,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,4145.9,No
Casmalia,Male,No,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.65,2664.3,No
Cayucos,Female,No,No,No,26,No,No phone service,DSL,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),50.35,1277.5,No
Creston,Male,Yes,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),80.35,5589.3,No
Grover Beach,Male,No,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.2,34.75,No
Guadalupe,Male,No,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.55,1305.95,No
Los Olivos,Male,Yes,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.25,204.55,No
Morro Bay,Female,No,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.25,605.9,No
Nipomo,Female,No,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.85,356.1,No
Paso Robles,Male,No,No,No,65,Yes,Yes,DSL,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),74.2,4805.65,No
San Ardo,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,92.75,No
San Miguel,Male,No,Yes,Yes,25,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,1901.05,No
San Simeon,Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,Two year,No,Bank transfer (automatic),79.05,5730.7,No
Santa Margarita,Female,No,Yes,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),90.15,2423.4,No
Santa Maria,Male,No,Yes,Yes,32,No,No phone service,DSL,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),50.6,1653.45,No
Santa Maria,Female,No,No,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,One year,No,Credit card (automatic),110.45,3327.05,No
Santa Maria,Male,No,Yes,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),101.0,7085.5,No
Santa Ynez,Male,Yes,No,No,42,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.35,3344.1,No
Shandon,Female,Yes,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.85,6697.35,No
Solvang,Female,No,No,No,47,Yes,Yes,DSL,Yes,Yes,Yes,No,Two year,Yes,Mailed check,65.0,2879.9,No
Templeton,Female,No,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,80.45,137.1,No
California City,Female,No,Yes,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.1,1551.6,No
Acton,Female,No,No,No,5,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.05,202.15,No
Benton,Female,Yes,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.8,7882.25,No
Big Pine,Male,Yes,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.95,8196.4,No
Bishop,Female,Yes,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,No,Mailed check,75.05,202.9,No
Boron,Male,No,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.25,855.1,No
Bridgeport,Female,No,No,No,63,Yes,No,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),90.05,5817.0,No
Caliente,Female,No,No,No,27,Yes,No,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,56.7,1652.95,No
Darwin,Male,No,Yes,No,70,Yes,No,DSL,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),80.15,5600.15,No
Edwards,Male,No,Yes,Yes,7,Yes,No,DSL,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),71.35,515.75,No
Independence,Male,No,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.25,,No
Inyokern,Female,No,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Electronic check,90.35,190.5,No
June Lake,Male,No,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,1253.8,No
Keeler,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,57.2,No
Lake Hughes,Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),90.35,6563.4,No
Lancaster,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.8,20.8,No
Lee Vining,Female,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),66.85,4758.8,No
Littlerock,Male,No,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,1292.6,No
Llano,Female,No,No,No,11,No,No phone service,DSL,No,No,No,Yes,Month-to-month,Yes,Mailed check,35.8,363.15,No
Lone Pine,Male,No,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,78.85,1600.25,No
Mammoth Lakes,Male,No,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.4,275.7,No
Olancha,Male,No,No,No,41,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,74.25,3089.1,No
Palmdale,Male,No,Yes,No,17,Yes,No,DSL,Yes,No,No,No,One year,No,Mailed check,64.8,1175.6,No
Palmdale,Male,No,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.45,237.3,No
Rosamond,Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),110.65,8065.65,No
Tehachapi,Female,No,Yes,Yes,3,No,No phone service,DSL,No,No,No,No,Month-to-month,No,Mailed check,40.3,92.5,No
Valyermo,Female,No,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),107.0,6152.3,No
Ahwahnee,Male,No,Yes,No,71,Yes,No,DSL,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),73.35,5154.5,No
Auberry,Female,No,Yes,Yes,5,Yes,No,DSL,No,No,No,No,Month-to-month,No,Mailed check,44.8,220.45,No
Badger,Male,No,Yes,Yes,27,Yes,No,DSL,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),54.75,1510.3,No
Big Creek,Male,No,No,No,63,No,No phone service,DSL,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),40.6,2588.95,No
Cantua Creek,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,No,No,No,Two year,No,Bank transfer (automatic),55.3,3983.6,No
Caruthers,Female,No,Yes,No,34,Yes,Yes,DSL,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.85,2003.6,No
Chowchilla,Female,No,Yes,No,24,Yes,Yes,DSL,Yes,No,No,Yes,One year,No,Electronic check,78.4,1832.4,No
Clovis,Male,No,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),69.65,4908.25,No
Clovis,Female,No,Yes,No,60,No,No phone service,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),59.85,3590.2,No
Coarsegold,Male,No,No,No,68,Yes,Yes,DSL,Yes,Yes,No,No,One year,Yes,Credit card (automatic),76.9,5023.0,No
Cutler,Female,No,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.85,146.6,No
Del Rey,Female,No,No,No,34,Yes,No,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),67.65,2339.3,No
Dinuba,Female,No,No,No,6,No,No phone service,DSL,No,No,No,Yes,Month-to-month,No,Credit card (automatic),45.0,298.7,No
Dos Palos,Male,No,Yes,No,2,Yes,No,DSL,No,No,Yes,No,Month-to-month,Yes,Mailed check,64.2,143.65,No
Dunlap,Male,No,No,No,31,Yes,Yes,Fiber optic,No,No,Yes,No,One year,No,Credit card (automatic),81.7,2548.65,No
Firebaugh,Female,No,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.55,507.4,No
Fish Camp,Female,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.0,20.0,No
Fowler,Female,Yes,Yes,No,70,Yes,Yes,Fiber optic,No,No,No,No,Two year,Yes,Credit card (automatic),75.65,5411.4,No
Helm,Male,No,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.8,903.8,No
Hume,Female,No,Yes,No,46,Yes,No,DSL,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),64.2,3009.5,No
Kingsburg,Female,No,Yes,No,72,Yes,Yes,DSL,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),76.8,5468.45,No
Lakeshore,Male,No,No,No,18,Yes,No,DSL,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),55.2,1058.1,No
Los Banos,Male,No,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.55,7616.0,No
North Fork,Female,No,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.25,1108.2,No
Oakhurst,Male,No,Yes,No,34,No,No phone service,DSL,Yes,No,No,No,One year,No,Bank transfer (automatic),30.4,938.65,No
O Neals,Male,Yes,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.05,94.15,No
Orange Cove,Female,No,No,No,25,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,2088.05,No
Parlier,Female,No,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,5656.75,No
Prather,Male,No,Yes,No,70,Yes,Yes,Fiber optic,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),88.0,5986.45,No
Raisin City,Female,No,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,6751.35,No
Raymond,Male,No,Yes,No,43,Yes,No,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.15,3566.6,No
Reedley,Male,No,No,No,47,Yes,Yes,Fiber optic,No,Yes,No,Yes,One year,Yes,Electronic check,103.1,4889.3,No
Riverdale,Male,No,No,No,5,Yes,No,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),63.95,318.1,No
Sanger,Female,No,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.8,1563.95,No
Shaver Lake,Female,No,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.55,372.45,No
Sultana,Male,No,Yes,Yes,34,No,No phone service,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,44.85,1442.6,No
